movieId,title,genres,cast,keywords,popularity,rating,poster,mood,Industry
4247,Scary Movie (2000),Comedy,Anna Faris|Regina Hall|Marlon Wayans,high school|psychopath|garage|satire|parody|crude humor|spoof|slasher|horror spoof|drugs|aftercreditsstinger|horror parody|enthusiastic,22.6071,6.4,https://image.tmdb.org/t/p/w500/fVQFPRuw3yWXojYDJvA5EoFjUOY.jpg,Feel-Good,HOLLYWOOD
98,Gladiator (2000),Action|Drama|Adventure,Russell Crowe|Joaquin Phoenix|Connie Nielsen,"gladiator|rome, italy|arena|senate|roman empire|parent child relationship|emperor|slavery|ancient rome|revenge|battlefield|slave auction|historical fiction|ancient world|combat|chariot|philosopher|barbarian horde|2nd century|successor|commodus|maximus|serene|defiant|excited|gladiador",16.6405,8.223,https://image.tmdb.org/t/p/w500/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,Epic/Myth,HOLLYWOOD
4234,Scream 3 (2000),Horror|Mystery,Neve Campbell|Courteney Cox|David Arquette,mask|isolation|movie business|ex-cop|sequel|serial killer|reporter|slasher|hollywood|self-referential|phone call|satirical|annual phone call,11.817,6.006,https://image.tmdb.org/t/p/w500/qpH8ToZVlFD1bakL04LkEKodyDI.jpg,Dark,HOLLYWOOD
77,Memento (2000),Mystery|Thriller,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano,"drug dealer|amnesia|insulin|tattoo|waitress|motel|manipulation|flashback|confusion|revenge|murder|memory loss|memory|psychological thriller|whodunit|los angeles, california|polaroid|based on short story|nonlinear timeline|mourning|insurance agent|individuality|phone call|disturbed|paranoid|neo-noir|somber|reverse chronology|diabetes|bewildered|bold|complicated|suspense mystery",12.5593,8.176,https://image.tmdb.org/t/p/w500/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg,Dark,HOLLYWOOD
11688,The Emperor's New Groove (2000),Adventure|Animation|Comedy|Family|Fantasy,David Spade|John Goodman|Eartha Kitt,central and south america|kingdom|birthday|peru|emperor|villain|palace|berater|breaking the fourth wall|incan empire|assassination attempt|15th century|llama,10.6397,7.6,https://image.tmdb.org/t/p/w500/isA0acj3ONKBLp1pKadUNzxEPFv.jpg,Epic/Myth,HOLLYWOOD
107,Snatch (2000),Crime|Comedy,Jason Statham|Alan Ford|Stephen Graham,robbery|trailer park|england|gypsy|gambling|bare knuckle boxing|slang|diamond|antwerp|pig|gangster|boxer|underground fighting|diamond heist|pikey|excited,11.4995,7.817,https://image.tmdb.org/t/p/w500/kJZoAHq1SLDdWjeNGtlHAnGpmFV.jpg,Feel-Good,HOLLYWOOD
1359,American Psycho (2000),Thriller|Drama|Crime,Christian Bale|Justin Theroux|Josh Lucas,new york city|based on novel or book|businessman|psychopath|dark comedy|satire|wall street|serial killer|chainsaw|big city|psychological thriller|character study|white collar|harvard business school|voice imitation|1980s|american businessman|bloody|ambiguity|psychological horror|horror|baffled|horrified,10.2159,7.408,https://image.tmdb.org/t/p/w500/9uGHEgsiUXjCNq8wdq4r49YL8A1.jpg,Dark,HOLLYWOOD
10867,Malena (2000),Drama,Monica Bellucci|Giuseppe Sulfaro|Luciano Federico,"jealousy|sicily, italy|widow|world war ii|longing|beautiful woman|crush|sex trafficking|intrigue|pretty woman|milf|sad story|admiring|sympathetic|rich to poor|broken women",10.4753,7.4,https://image.tmdb.org/t/p/w500/3OyQTl0IGkbnjDxd3MhztfPE34g.jpg,Romantic,KOREAN
5842,Versus (2000),Horror|Fantasy|Action|Thriller|Adventure,Tak Sakaguchi|Hideo Sakaki|Kenji Matsuda,japan|samurai|yakuza|forest|escaped convict|zombie|back from the dead|chanbara|abduction,6.692,6.3,https://image.tmdb.org/t/p/w500/dEk6Fpm4lkEBQBVpzTOLau7qgR9.jpg,Epic/Myth,HOLLYWOOD
8871,How the Grinch Stole Christmas (2000),Family|Comedy|Fantasy,Jim Carrey|Taylor Momsen|Jeffrey Tambor,new love|based on novel or book|holiday|christmas party|village|santa claus|surrealism|thief|public humiliation|christmas|surreal world,7.3285,6.781,https://image.tmdb.org/t/p/w500/1WZbbPApEivA421gCOluuzMMKCk.jpg,Epic/Myth,HOLLYWOOD
8358,Cast Away (2000),Adventure|Drama,Tom Hanks|Helen Hunt|Chris Noth,exotic island|suicide attempt|volleyball|survival|remarriage|loneliness|castaway|airplane crash|presumed dead|deserted island|tropical island|south pacific|intense|bold|melodramatic|enoch arden,9.1008,7.66,https://image.tmdb.org/t/p/w500/7lLJgKnAicAcR5UEuo8xhSMj18w.jpg,Adrenaline,HOLLYWOOD
843,In the Mood for Love (2000),Drama|Romance,Maggie Cheung|Tony Leung Chiu-wai|Siu Ping-Lam,"adultery|newspaper|secret love|martial arts|lovesickness|husband wife relationship|shanghai, china|marriage crisis|married couple|singapore|deceived husband|forbidden love|melancholy|neighbor|author|hong kong|extramarital affair|1960s|asian culture|intense|adultério",8.2124,8.1,https://image.tmdb.org/t/p/w500/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,Romantic,KOREAN
146,"Crouching Tiger, Hidden Dragon (2000)",Adventure|Drama|Action|Romance,Chow Yun-Fat|Michelle Yeoh|Zhang Ziyi,martial arts|kung fu|based on novel or book|flying|taskmaster|sword|tiger|villainess|mountain|comb|fistfight|sword fight|thief|revenge|theft|historical|female martial artist|18th century|wuxia|warrior|bamboo|tavern fight|action hero|qing dynasty|whimsical,7.3275,7.431,https://image.tmdb.org/t/p/w500/iNDVBFNz4XyYzM9Lwip6atSTFqf.jpg,Adrenaline,CHINESE
1900,Traffic (2000),Thriller|Drama|Crime,Michael Douglas|Benicio del Toro|Catherine Zeta-Jones,drug dealer|daughter|mother|drug abuse|drug smuggling|smuggling (contraband)|war on drugs|drug trafficking|addicted|police operation|father|usa–mexico border|addiction|drug lord|marriage dispute,7.1553,7.1,https://image.tmdb.org/t/p/w500/jbccmnqE4oAPI67bApgt2JiRPz8.jpg,Dark,HOLLYWOOD
9532,Final Destination (2000),Horror,Devon Sawa|Ali Larter|Kerr Smith,airport|time travel|omen|premonition|airplane accident|airplane crash|corpse|death|macabre|near-death experience|desperate|cheating death|supernatural horror|cliché|deaths,7.3336,6.63,https://image.tmdb.org/t/p/w500/1mXhlQMnlfvJ2frxTjZSQNnA9Vp.jpg,Dark,HOLLYWOOD
4327,Charlie's Angels (2000),Action|Comedy|Adventure,Cameron Diaz|Drew Barrymore|Lucy Liu,martial arts|undercover agent|spy|secret agent|satire|female friendship|millionaire|agent|heroine|burlesque|spy hero|based on tv series|suspenseful|reminiscent|admiring|amused|assertive|audacious|bold|excited|melodramatic|sarcastic,7.3235,5.9,https://image.tmdb.org/t/p/w500/iHTmZs0BmkwMCYi8rhvMWC5G4EM.jpg,Adrenaline,KOREAN
2024,The Patriot (2000),Drama|History|War|Action,Mel Gibson|Heath Ledger|Joely Richardson,daughter|mission|general|southern usa|loss of loved one|rebel|patriotism|insurgence|gore|south carolina|based on true story|sword fight|historical fiction|soldier|patriot|18th century|american revolution|revolutionary war,6.5158,7.183,https://image.tmdb.org/t/p/w500/fWZd815QxUCUcrWQZwUkAp9ljG.jpg,Epic/Myth,HOLLYWOOD
2123,"Me, Myself & Irene (2000)",Comedy,Jim Carrey|Renée Zellweger|Anthony Anderson,schizophrenia|road trip|ex-cop|aftercreditsstinger|duringcreditsstinger|hilarious|ridiculous,6.4009,6.6,https://image.tmdb.org/t/p/w500/rvRrcbLbpn7UJGRH1JupgHOeJFq.jpg,Feel-Good,HOLLYWOOD
9741,Unbreakable (2000),Thriller|Drama|Mystery,Bruce Willis|Samuel L. Jackson|Robin Wright,"philadelphia, pennsylvania|parent child relationship|marriage crisis|superhero|train accident|invulnerability|biting|super power|disability|shocking|angry|hostile|father son relationship|frightened|eastrail 177",6.2571,7.1,https://image.tmdb.org/t/p/w500/mLuehrGLiK5zFCyRmDDOH6gbfPf.jpg,Dark,HOLLYWOOD
